"King's Indian Defense, Makagonov Variation","E71","1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.h3"
"Bird Opening, General","A02","1.f4"
"Caro-Kann Defense, Tartakower Variation","B15","1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 5.Nxf6+ exf6"
"Sicilian Defense, Kan Variation, Maroczy Bind, Reti Variation","B41","1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.c4"
"Nimzo-Larsen Attack, Classical Variation","A01","1.b3 d5"
"Alekhine Defense, Exchange Variation","B03","1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.exd6"
"Indian Game, Kingside Fianchetto","E61","1.d4 Nf6 2.c4 g6"
"Caro-Kann Defense, Classical Variation, Seirawan Variation","B19","1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.h4 h6 7.Nf3 Nd7 8.h5 Bh7 9.Bd3 Bxd3 10.Qxd3"
"Zukertort Opening, Dutch Variation","A04","1.Nf3 f5"
"Dutch Defense, General","A80","1.d4 f5"
"Sicilian Defense, Paulsen Variation, Bastrikov Variation","B48","1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 Qc7 6.Be3"
"Queen's Gambit Declined, Ragozin Defense","D38","1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Bb4"
"King's Indian Defense, Orthodox Variation, Positional Defense","E94","1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.O-O Nbd7"
"Queen's Gambit Declined, Exchange Variation, Positional Variation","D35","1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.cxd5 exd5 5.Bg5 c6"
"Sicilian Defense, Scheveningen Variation, Classical Variation","B84","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be2 a6"
"Italian Game, Italian Variation","C50","1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5"
"Slav Defense, Chameleon Variation","D15","1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 a6"
"King's Indian Defense, Saemisch Variation, Normal Defense","E81","1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.f3 O-O"
"Nimzowitsch-Larsen Attack, General","A06","1.Nf3 d5 2.b3"
"English Opening, Symmetrical Variation, Anti-Benoni Variation","A31","1.c4 c5 2.Nf3 Nf6 3.d4"
"Sicilian Defense, Lasker-Pelikan Variation, General","B33","1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5"
"Sicilian Defense, Accelerated Dragon, Modern Variation","B34","1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.Nc3"
"Zukertort Opening, Queen Pawn Defense","A06","1.Nf3 d5"
"Sicilian Defense, Hyperaccelerated Dragon","B27","1.e4 c5 2.Nf3 g6"
"Scotch Game, Mieses Variation","C45","1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Nf6 5.Nxc6 bxc6 6.e5"
"Russian Game, Nimzowitsch Attack","C42","1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.Nc3"
"English Opening, Symmetrical Variation, Two Knights Line","A37","1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3"
"King's Indian Defense, Orthodox Variation, Gligoric-Taimanov System","E92","1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.Be3"
"Scandinavian Defense, Main Lines, Mieses Variation","B01","1.e4 d5 2.exd5 Qxd5 3.Nc3 Qa5 4.d4 Nf6"
"English Opening, Symmetrical Variation, Symmetrical Variation","A36","1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7"
"Scandinavian Defense, Modern Variation","B01","1.e4 d5 2.exd5 Nf6"
"Caro-Kann Defense, Two Knights Attack, Mindeno Variation, Exchange Line","B11","1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bxf3"
"Owen Defense, General","B00","1.e4 b6"
"English Opening, Symmetrical Variation, Hedgehog Defense","A30","1.c4 c5 2.Nf3 Nf6 3.g3 b6 4.Bg2 Bb7 5.O-O e6 6.Nc3 Be7"
"Queen's Gambit Declined, Modern Variation","D50","1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5"
"Sicilian Defense, Closed Variation","B26","1.e4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6 6.Be3"
"Sicilian Defense, Najdorf Variation","B94","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Bg5"
"Sicilian Defense, Richter-Rauzer Variation, Neo-Modern Variation","B67","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 a6 8.O-O-O Bd7"
"English Opening, Agincourt Defense, King's Knight","A13","1.c4 e6 2.Nf3 d5"
"Queen Pawn Game, Veresov Attack","D00","1.d4 d5 2.Nc3"
"French Defense, Advance Variation, Paulsen Attack","C02","1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3"
"English Opening, General","A10","1.c4"
"Benoni Defense, General","A43","1.d4 c5"
"Sicilian Defense, French Variation, Westerinen Attack","B40","1.e4 c5 2.Nf3 e6 3.b3"
"Rat Defense, English Rat","A41","1.d4 d6 2.c4 e5"
"French Defense, Tarrasch Variation, Morozevich Variation","C03","1.e4 e6 2.d4 d5 3.Nd2 Be7"
"Sicilian Defense, Kan Variation, Polugaevsky Variation","B42","1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Bd3 Bc5"
"Queen's Gambit Declined, Charousek (Petrosian) Variation","D31","1.d4 d5 2.c4 e6 3.Nc3 Be7"
"Scotch Game, Classical Variation","C45","1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Bc5"
"Nimzo-Indian Defense, Kmoch Variation","E20","1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.f3"
"English Opening, King's English Variation, Four Knights Variation, Fianchetto Lines","A29","1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.g3"
"French Defense, Tarrasch Variation, Open System, Euwe-Keres Line","C07","1.e4 e6 2.d4 d5 3.Nd2 c5 4.Ngf3"
"Sicilian Defense, Accelerated Dragon, Maroczy Bind, General","B36","1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.c4"
"Queen Pawn Game, Colle System","D04","1.d4 d5 2.Nf3 Nf6 3.e3"
"French Defense, Advance Variation, Main Line","C02","1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Qb6 6.a3"
"Benko Gambit, Accepted, Fully Accepted Variation","A58","1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6"
"Benoni Defense, Modern Variation","A56","1.d4 Nf6 2.c4 c5"
"French Defense, Tarrasch Variation, Closed Variation","C05","1.e4 e6 2.d4 d5 3.Nd2 Nf6 4.e5 Nfd7 5.Bd3 c5 6.c3 Nc6"
"Sicilian Defense, Najdorf Variation, Amsterdam Variation","B93","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.f4"
"Caro-Kann Defense, Accelerated Panov Attack, Modern Variation","B10","1.e4 c6 2.c4 d5 3.exd5 cxd5 4.cxd5 Nf6"
"Queen Pawn Game, Chigorin  Variation","D02","1.d4 d5 2.Nf3 Nc6"
"Slav Defense, Czech Variation, Classical System","D18","1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 5.a4 Bf5 6.e3"
"Modern Defense, Averbakh Variation","A42","1.d4 g6 2.c4 Bg7 3.Nc3 d6 4.e4"
"Sicilian Defense, Snyder Variation","B20","1.e4 c5 2.b3"
"English Opening, Anglo-Dutch Defense","A10","1.c4 f5"
"Queen Pawn Game, Levitsky Attack","D00","1.d4 d5 2.Bg5"
"Neo-Gruenfeld Defense, Classical Variation, Original Defense","D78","1.d4 Nf6 2.c4 g6 3.g3 d5 4.Bg2 Bg7 5.Nf3 O-O 6.O-O c6"
"Spanish Game, Morphy Defense, Breyer Defense, Zaitsev Hybrid","C95","1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d6 9.h3 Nb8 10.d4 Nbd7"
"French Defense, Tarrasch Variation, Chistyakov Defense","C07","1.e4 e6 2.d4 d5 3.Nd2 c5 4.exd5 Qxd5"
"Nimzo-Indian Defense, Three Knights Variation, Duchamp Variation","E21","1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 b6"
"Dutch Defense, Semi-Leningrad Variation","A81","1.d4 f5 2.g3 Nf6 3.Bg2 g6"
"Scotch Game, Schmidt Variation","C45","1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Nf6"
"Nimzo-Indian Defense, Reshevsky Variation","E46","1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Ne2"
"Sicilian Defense, Najdorf Variation","B96","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Bg5 e6 7.f4"
"King's Indian Defense, Orthodox Variation, Glek Defense","E94","1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.O-O Na6"
"English Opening, Agincourt Defense, Catalan Defense Accepted","A13","1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 dxc4"
"Sicilian Defense, Najdorf Variation, Opocensky Variation, Traditional Line","B92","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Be2 e5 7.Nb3 Be7 8.O-O O-O"
"King's Indian Attack, Yugoslav Variation","A07","1.Nf3 d5 2.g3 Nf6 3.Bg2 c6 4.O-O Bg4"
"Sicilian Defense, Scheveningen Variation, English Attack","B80","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.Be3 a6 7.f3"
"Modern Defense, Pseudo-Austrian Attack","B06","1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.f4"
"Alekhine Defense, Scandinavian Variation","B02","1.e4 Nf6 2.Nc3 d5"
"Queen's Gambit Declined, Barmen Variation","D37","1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Nbd7"
"Scotch Game, Scotch Gambit, Advance Variation","C45","1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Bc4 Nf6 5.e5"
"Gruenfeld Defense, Three Knights Variation, Petrosian System","D91","1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Bg5"
"Sicilian Defense, Hyperaccelerated Fianchetto","A42","1.e4 c5 2.Nf3 g6 3.d4"
"Wade Defense, General","A41","1.d4 d6 2.Nf3 Bg4"
"Tarrasch Defense, Symmetrical Variation","D32","1.d4 d5 2.c4 e6 3.Nc3 c5 4.e3 Nf6 5.Nf3 Nc6"
"Nimzo-Larsen Attack, Indian Variation","A01","1.b3 Nf6"
"Sicilian Defense, McDonnell Attack","B21","1.e4 c5 2.f4"
"Sicilian Defense, Dragon Variation, General","B70","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6"
"Sicilian Defense, Scheveningen Variation, Keres Attack","B81","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6 6.g4"
"Caro-Kann Defense, Panov Attack","B14","1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 e6"
"Queen's Gambit Accepted, Classical Defense, Main Lines","D27","1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.O-O a6"
"Old Indian Defense, General","A53","1.d4 Nf6 2.c4 d6"
"Sicilian Defense, Prins Variation","B54","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.f3"
"Caro-Kann Defense, Breyer Variation","B10","1.e4 c6 2.d3"
"English Opening, Symmetrical Variation, Four Knights Variation","A35","1.c4 c5 2.Nc3 Nc6 3.Nf3 Nf6"
"Sicilian Defense, Godiva Variation","B32","1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Qb6"
"Spanish Game, Closed Variations, Martinez Variation","C78","1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.d3"
"Semi-Slav Defense, Accelerated Move Order","D31","1.d4 d5 2.c4 e6 3.Nc3 c6"
"Caro-Kann Defense, Exchange  Variation, Rubinstein Variation","B13","1.e4 c6 2.d4 d5 3.exd5 cxd5 4.Bd3 Nc6 5.c3 Nf6 6.Bf4"
"Bishop's Opening, Berlin Defense","C24","1.e4 e5 2.Bc4 Nf6"
"Sicilian Defense, Lasker-Pelikan Variation, Sveshnikov Variation","B33","1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 b5 9.Bxf6 gxf6 10.Nd5 f5"
